77,University of Dayton Dayton,OH,52,14,60,51570,16113,11676,69,37551
78,John Carroll University University Heights,OH,83,13,65,47300,22526,15513,73,31214
79,University of San Diego San Diego,CA,49,15,65,56570,24101,13263,26,29115
80,Webster University St. Louis,MO,57,9,42,36100,13390,6654,13,28518
81,Baldwin Wallace University Berea,OH,64,13,55,38318,17594,11840,51,31804
82,Valparaiso University Valparaiso,IN,80,14,58,46140,21958,12723,19,31891
83,Indiana Wesleyan University Marion,IN,97,14,55,33190,13851,5185,62,29699
84,Point Loma Nazarene University San Diego,CA,67,14,62,42752,15245,7773,37,36523
85,Chapman University Orange,CA,45,14,59,59907,15667,17103,48,29439
86,Clarkson University Potsdam,NY,64,15,63,57386,28010,17546,79,27835
87,University of St. Thomas St. Paul,MN,86,15,63,46882,17486,14061,23,36955
88,Syracuse University Syracuse,NY,49,16,69,57722,25670,9720,21,33455
89,Centenary College of Louisiana Shreveport,LA,66,9,49,46850,20785,14544,88,23760
90,Xavier University Cincinnati,OH,70,12,67,45980,15334,12844,64,30540
91,Lipscomb University Nashville,TN,53,12,44,39240,4901,13501,59,28356
92,Bethel University St. Paul,MN,95,12,62,43540,17486,10405,40,34884
93,Loyola University Maryland Baltimore,MD,58,12,79,58295,21620,15875,18,34012
94,Saint Michael's College Colchester,VT,75,12,70,51175,21070,13289,81,33743
95,Rollins College Winter Park,FL,59,10,61,55238,27745,18541,51,30634
96,Fairfield University Fairfield,CT,70,11,79,58110,17265,15206,26,28918
97,Rochester Institute of Technology Rochester,NY,60,13,28,48386,18000,10000,29,26000
98,Lebanon Valley College Annville,PA,67,12,68,48670,22115,14316,57,33657
99,St. John Fisher College Rochester,NY,63,13,65,41808,14561,9876,64,31267
100,DePaul University Chicago,IL,60,16,54,48727,12842,9717,25,26848
